**** Molotov v2.4. Happy breaking! ****
Loading extension 'bzt.resources.molotov_ext'
Preparing 10 workers...
OK
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 0
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 1 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 2 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 2 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 2 | WORKERS: 1
